Date,Apple TV Sessions,iPad Sessions,iPhone Sessions,iPod Sessions,Apple TV Active Last 30 Days,iPad Active Last 30 Days,iPhone Active Last 30 Days,iPod Active Last 30 Days
4/1/15,-,4.0,27.0,0.0,-,1.0,11.0,0.0
4/2/15,-,3.0,28.0,0.0,-,2.0,18.0,0.0
4/3/15,-,0.0,29.0,0.0,-,2.0,21.0,0.0
4/4/15,-,1.0,6.0,0.0,-,3.0,26.0,0.0
4/5/15,-,0.0,28.0,0.0,-,3.0,31.0,0.0
4/6/15,-,0.0,16.0,0.0,-,3.0,32.0,0.0
4/7/15,-,4.0,26.0,0.0,-,4.0,38.0,0.0
4/8/15,-,0.0,30.0,0.0,-,4.0,42.0,0.0
4/9/15,-,0.0,16.0,0.0,-,4.0,48.0,0.0
4/10/15,-,1.0,9.0,0.0,-,4.0,50.0,0.0
4/11/15,-,1.0,44.0,0.0,-,5.0,53.0,0.0
4/12/15,-,2.0,27.0,0.0,-,5.0,53.0,0.0
4/13/15,-,0.0,30.0,0.0,-,5.0,58.0,0.0
4/14/15,-,1.0,19.0,0.0,-,6.0,59.0,0.0
4/15/15,-,0.0,23.0,0.0,-,6.0,62.0,0.0
4/16/15,-,3.0,24.0,0.0,-,7.0,65.0,0.0
4/17/15,-,5.0,8.0,0.0,-,7.0,66.0,0.0
4/18/15,-,5.0,12.0,0.0,-,7.0,69.0,0.0
4/19/15,-,4.0,56.0,0.0,-,7.0,72.0,0.0
4/20/15,-,0.0,38.0,0.0,-,7.0,74.0,0.0
4/21/15,-,1.0,44.0,0.0,-,8.0,76.0,0.0
4/22/15,-,0.0,21.0,0.0,-,8.0,78.0,0.0
4/23/15,-,0.0,29.0,0.0,-,8.0,80.0,0.0
4/24/15,-,4.0,39.0,0.0,-,8.0,82.0,0.0
4/25/15,-,3.0,39.0,0.0,-,8.0,84.0,0.0
4/26/15,-,0.0,56.0,0.0,-,8.0,88.0,0.0
4/27/15,-,0.0,53.0,0.0,-,8.0,90.0,0.0
4/28/15,-,1.0,47.0,0.0,-,9.0,91.0,0.0
4/29/15,-,0.0,54.0,0.0,-,9.0,93.0,0.0
4/30/15,-,0.0,29.0,0.0,-,9.0,96.0,0.0
5/1/15,-,0.0,19.0,0.0,-,9.0,95.0,0.0
5/2/15,-,4.0,23.0,0.0,-,11.0,94.0,0.0
5/3/15,-,0.0,26.0,0.0,-,11.0,91.0,0.0
5/4/15,-,3.0,17.0,0.0,-,11.0,91.0,0.0
5/5/15,-,0.0,28.0,0.0,-,11.0,90.0,0.0
5/6/15,-,3.0,25.0,0.0,-,12.0,91.0,0.0
5/7/15,-,25.0,57.0,0.0,-,11.0,91.0,0.0
5/8/15,-,5.0,33.0,0.0,-,11.0,90.0,0.0
5/9/15,-,2.0,51.0,0.0,-,11.0,92.0,0.0
5/10/15,-,2.0,30.0,0.0,-,11.0,92.0,0.0
5/11/15,-,1.0,37.0,0.0,-,11.0,93.0,0.0
5/12/15,-,3.0,34.0,0.0,-,13.0,94.0,0.0
5/13/15,-,3.0,27.0,0.0,-,13.0,94.0,0.0
5/14/15,-,6.0,32.0,0.0,-,12.0,96.0,0.0
5/15/15,-,1.0,30.0,0.0,-,12.0,97.0,0.0
5/16/15,-,0.0,18.0,0.0,-,12.0,97.0,0.0
5/17/15,-,3.0,46.0,0.0,-,12.0,97.0,0.0
5/18/15,-,0.0,53.0,0.0,-,12.0,96.0,0.0
5/19/15,-,0.0,40.0,0.0,-,12.0,94.0,0.0
5/20/15,-,7.0,30.0,0.0,-,12.0,98.0,0.0
5/21/15,-,2.0,27.0,0.0,-,11.0,98.0,0.0
5/22/15,-,2.0,32.0,0.0,-,11.0,98.0,0.0
5/23/15,-,1.0,23.0,0.0,-,11.0,98.0,0.0
5/24/15,-,1.0,14.0,0.0,-,11.0,99.0,0.0
5/25/15,-,3.0,29.0,0.0,-,13.0,100.0,0.0
5/26/15,-,2.0,36.0,0.0,-,13.0,101.0,0.0
5/27/15,-,0.0,29.0,0.0,-,13.0,101.0,0.0
5/28/15,-,0.0,25.0,0.0,-,12.0,103.0,0.0
5/29/15,-,0.0,25.0,0.0,-,12.0,101.0,0.0
5/30/15,-,0.0,10.0,0.0,-,12.0,99.0,0.0
5/31/15,-,0.0,10.0,0.0,-,12.0,99.0,0.0
6/1/15,-,2.0,10.0,0.0,-,11.0,98.0,0.0
6/2/15,-,0.0,22.0,0.0,-,11.0,97.0,0.0
6/3/15,-,0.0,30.0,0.0,-,11.0,99.0,0.0
6/4/15,-,0.0,44.0,0.0,-,11.0,101.0,0.0
6/5/15,-,0.0,45.0,0.0,-,11.0,105.0,0.0
6/6/15,-,0.0,12.0,0.0,-,11.0,103.0,0.0
6/7/15,-,0.0,27.0,0.0,-,11.0,106.0,0.0
