Date,Apple TV App Units,iPad App Units,iPhone App Units,iPod App Units,Apple TV Active Devices,iPad Active Devices,iPhone Active Devices,iPod Active Devices,Canada App Units,World App Units,Canada Active Devices,World Active Devices,Canada Active Devices,Apple TV Sessions,iPad Sessions,iPhone Sessions,iPod Sessions,Apple TV Active Last 30 Days,iPad Active Last 30 Days,iPhone Active Last 30 Days,iPod Active Last 30 Days,Canada Sessions,Canada Active Last 30 Days,World Sessions,World Active Last 30 Days
4/1/15,-,1.0,3.0,0.0,-,1.0,11.0,0.0,4.0,0.0,10.0,2.0,10.0,-,4.0,27.0,0.0,-,1.0,11.0,0.0,25.0,10.0,6.0,2.0
4/2/15,-,0.0,0.0,0.0,-,2.0,9.0,0.0,0.0,0.0,10.0,1.0,10.0,-,3.0,28.0,0.0,-,2.0,18.0,0.0,30.0,17.0,1.0,3.0
4/3/15,-,0.0,3.0,0.0,-,0.0,10.0,0.0,3.0,0.0,6.0,3.0,6.0,-,0.0,29.0,0.0,-,2.0,21.0,0.0,17.0,18.0,9.0,4.0
4/4/15,-,0.0,3.0,0.0,-,1.0,5.0,0.0,3.0,0.0,6.0,0.0,6.0,-,1.0,6.0,0.0,-,3.0,26.0,0.0,7.0,24.0,0.0,4.0
4/5/15,-,0.0,2.0,0.0,-,0.0,9.0,0.0,1.0,1.0,9.0,0.0,9.0,-,0.0,28.0,0.0,-,3.0,31.0,0.0,28.0,29.0,0.0,4.0
4/6/15,-,0.0,1.0,0.0,-,0.0,6.0,0.0,0.0,1.0,5.0,1.0,5.0,-,0.0,16.0,0.0,-,3.0,32.0,0.0,13.0,29.0,3.0,5.0
4/7/15,-,0.0,3.0,0.0,-,2.0,14.0,0.0,3.0,0.0,12.0,3.0,12.0,-,4.0,26.0,0.0,-,4.0,38.0,0.0,24.0,34.0,5.0,7.0
4/8/15,-,0.0,3.0,0.0,-,0.0,11.0,0.0,2.0,0.0,8.0,3.0,8.0,-,0.0,30.0,0.0,-,4.0,42.0,0.0,23.0,37.0,7.0,8.0
4/9/15,-,0.0,4.0,0.0,-,0.0,9.0,0.0,3.0,1.0,8.0,1.0,8.0,-,0.0,16.0,0.0,-,4.0,48.0,0.0,14.0,43.0,2.0,8.0
4/10/15,-,1.0,3.0,0.0,-,1.0,7.0,0.0,1.0,3.0,6.0,2.0,6.0,-,1.0,9.0,0.0,-,4.0,50.0,0.0,7.0,45.0,3.0,8.0
4/11/15,-,0.0,2.0,0.0,-,1.0,11.0,0.0,1.0,0.0,11.0,1.0,11.0,-,1.0,44.0,0.0,-,5.0,53.0,0.0,44.0,49.0,1.0,8.0
4/12/15,-,0.0,2.0,0.0,-,1.0,6.0,0.0,2.0,0.0,6.0,1.0,6.0,-,2.0,27.0,0.0,-,5.0,53.0,0.0,27.0,49.0,2.0,8.0
4/13/15,-,1.0,2.0,0.0,-,0.0,10.0,0.0,2.0,1.0,9.0,0.0,9.0,-,0.0,30.0,0.0,-,5.0,58.0,0.0,28.0,53.0,0.0,8.0
4/14/15,-,0.0,3.0,0.0,-,1.0,7.0,0.0,3.0,0.0,7.0,1.0,7.0,-,1.0,19.0,0.0,-,6.0,59.0,0.0,19.0,54.0,1.0,9.0
4/15/15,-,0.0,3.0,0.0,-,0.0,12.0,0.0,3.0,0.0,11.0,1.0,11.0,-,0.0,23.0,0.0,-,6.0,62.0,0.0,22.0,57.0,1.0,9.0
4/16/15,-,0.0,4.0,0.0,-,2.0,10.0,0.0,4.0,0.0,10.0,2.0,10.0,-,3.0,24.0,0.0,-,7.0,65.0,0.0,24.0,60.0,3.0,10.0
4/17/15,-,0.0,3.0,0.0,-,1.0,5.0,0.0,2.0,1.0,6.0,0.0,6.0,-,5.0,8.0,0.0,-,7.0,66.0,0.0,13.0,61.0,0.0,10.0
4/18/15,-,0.0,5.0,0.0,-,1.0,8.0,0.0,5.0,0.0,8.0,1.0,8.0,-,5.0,12.0,0.0,-,7.0,69.0,0.0,14.0,63.0,3.0,11.0
4/19/15,-,0.0,6.0,0.0,-,1.0,9.0,0.0,6.0,0.0,8.0,2.0,8.0,-,4.0,56.0,0.0,-,7.0,72.0,0.0,58.0,65.0,2.0,12.0
4/20/15,-,0.0,2.0,0.0,-,0.0,12.0,0.0,1.0,1.0,12.0,0.0,12.0,-,0.0,38.0,0.0,-,7.0,74.0,0.0,38.0,67.0,0.0,12.0
4/21/15,-,0.0,2.0,0.0,-,1.0,14.0,0.0,2.0,0.0,13.0,2.0,13.0,-,1.0,44.0,0.0,-,8.0,76.0,0.0,43.0,70.0,2.0,12.0
4/22/15,-,1.0,3.0,0.0,-,0.0,9.0,0.0,4.0,0.0,9.0,0.0,9.0,-,0.0,21.0,0.0,-,8.0,78.0,0.0,21.0,72.0,0.0,12.0
4/23/15,-,0.0,3.0,0.0,-,0.0,9.0,0.0,2.0,1.0,7.0,2.0,7.0,-,0.0,29.0,0.0,-,8.0,80.0,0.0,25.0,73.0,4.0,13.0
4/24/15,-,1.0,4.0,0.0,-,1.0,12.0,0.0,4.0,1.0,13.0,0.0,13.0,-,4.0,39.0,0.0,-,8.0,82.0,0.0,43.0,75.0,0.0,13.0
4/25/15,-,0.0,2.0,0.0,-,1.0,13.0,0.0,2.0,0.0,14.0,0.0,14.0,-,3.0,39.0,0.0,-,8.0,84.0,0.0,42.0,77.0,0.0,13.0
4/26/15,-,1.0,1.0,0.0,-,0.0,15.0,0.0,0.0,2.0,11.0,4.0,11.0,-,0.0,56.0,0.0,-,8.0,88.0,0.0,49.0,80.0,7.0,14.0
4/27/15,-,0.0,1.0,0.0,-,0.0,15.0,0.0,1.0,0.0,14.0,1.0,14.0,-,0.0,53.0,0.0,-,8.0,90.0,0.0,47.0,81.0,6.0,15.0
4/28/15,-,0.0,3.0,0.0,-,1.0,11.0,0.0,3.0,0.0,9.0,3.0,9.0,-,1.0,47.0,0.0,-,9.0,91.0,0.0,30.0,83.0,18.0,15.0
